,year,lifeExp,gdpPercap,population,income_groups,country,continent,region
9366,1800,38.5,966,184392,high_income,Cyprus,Europe,Europe Central Asia
34119,1800,25.1,411,56998,lower_middle_income,Solomon Islands,Asia,East Asia Pacific
16502,1800,36.1,1220,1227886,high_income,Croatia,Europe,Europe Central Asia
5798,1800,28.8,712,392287,lower_middle_income,Bhutan,Asia,South Asia
12711,1800,26.1,889,130533,upper_middle_income,Fiji,Asia,East Asia Pacific
2230,1800,29.17,877,879960,upper_middle_income,Azerbaijan,Europe,Europe Central Asia
12488,1800,36.57,1410,800000,high_income,Finland,Europe,Europe Central Asia
30997,1800,31.5,618,754894,lower_middle_income,Papua New Guinea,Asia,East Asia Pacific
8920,1800,30.21,877,53000,upper_middle_income,Costa Rica,Americas,America
30105,1800,32.9,959,75600,high_income,Panama,Americas,America
32112,1800,32.1,764,165944,lower_middle_income,Palestine,Asia,Middle East North Africa
24307,1800,30.5,649,1500000,low_income,Madagascar,Africa,Sub Saharan Africa
19178,1800,31.7,1022,200000,upper_middle_income,Jordan,Asia,Middle East North Africa
8697,1800,33.8,599,55716,lower_middle_income,Cape Verde,Africa,Sub Saharan Africa
37464,1800,30.9,473,1432000,low_income,Chad,Africa,Sub Saharan Africa
6021,1800,33.6,449,121000,upper_middle_income,Botswana,Africa,Sub Saharan Africa
27652,1800,32.4,611,229000,upper_middle_income,Namibia,Africa,Sub Saharan Africa
37687,1800,31.3,772,445985,low_income,Togo,Africa,Sub Saharan Africa
15833,1800,31.12,1374,166034,upper_middle_income,Guyana,Americas,America
23192,1800,36.9,1645,127030,high_income,Luxembourg,Europe,Europe Central Asia
41924,1800,32.0,976,4000000,lower_middle_income,Vietnam,Asia,East Asia Pacific
41032,1800,39.41,2959,6000000,high_income,United States,Americas,America
1561,1800,33.54,857,37000,high_income,Antigua and Barbuda,Americas,America
13157,1800,26.7,586,16416,lower_middle_income,"Micronesia, Fed. Sts.",Asia,East Asia Pacific
30328,1800,35.7,1230,1271000,upper_middle_income,Peru,Americas,America
24084,1800,33.15,703,712558,lower_middle_income,Moldova,Europe,Europe Central Asia
19401,1800,36.4,1531,28000000,high_income,Japan,Asia,East Asia Pacific
9589,1800,34.95,2168,5516349,high_income,Czech Republic,Europe,Europe Central Asia
33896,1800,29.1,1156,30000,high_income,Singapore,Asia,East Asia Pacific
38133,1800,24.24,629,466629,low_income,Tajikistan,Asia,Europe Central Asia
5352,1800,32.12,1034,81729,high_income,Barbados,Americas,America
34565,1800,28.7,1103,248000,lower_middle_income,El Salvador,Americas,America
2453,1800,31.5,473,899097,low_income,Burundi,Africa,Sub Saharan Africa
22746,1800,32.8,398,276361,lower_middle_income,Lesotho,Africa,Sub Saharan Africa
3345,1800,25.5,992,19191243,lower_middle_income,Bangladesh,Asia,South Asia
3568,1800,35.8,1232,2250000,upper_middle_income,Bulgaria,Europe,Europe Central Asia
39025,1800,32.9,1392,20000,high_income,Trinidad and Tobago,Americas,America
42816,1800,33.5,1777,1447911,upper_middle_income,South Africa,Africa,Sub Saharan Africa
14941,1800,29.8,403,80377,upper_middle_income,Equatorial Guinea,Africa,Sub Saharan Africa
28544,1800,39.86,4864,2000000,high_income,Netherlands,Europe,Europe Central Asia
6467,1800,39.0,1486,500000,high_income,Canada,Americas,America
37018,1800,37.0,897,12522,high_income,Seychelles,Africa,Sub Saharan Africa
31889,1800,35.5,945,300000,upper_middle_income,Paraguay,Americas,America
25868,1800,30.8,933,6000000,lower_middle_income,Myanmar,Asia,East Asia Pacific
11596,1800,30.2,602,205010,low_income,Eritrea,Africa,Sub Saharan Africa
36349,1800,36.6,1595,469664,high_income,Slovenia,Europe,Europe Central Asia
7136,1800,32.0,1077,330000000,upper_middle_income,China,Asia,East Asia Pacific
39917,1800,28.3,1123,2000000,high_income,Taiwan,Asia,East Asia Pacific
4237,1800,35.1,757,851806,upper_middle_income,Bosnia and Herzegovina,Europe,Europe Central Asia
39248,1800,28.8,801,800000,lower_middle_income,Tunisia,Africa,Middle East North Africa
20962,1800,25.8,948,9395000,high_income,South Korea,Asia,East Asia Pacific
17617,1800,38.3,1639,5250000,high_income,Ireland,Europe,Europe Central Asia
22523,1800,32.6,1019,1750000,upper_middle_income,Sri Lanka,Asia,South Asia
14718,1800,32.0,641,218167,low_income,Guinea-Bissau,Africa,Sub Saharan Africa
28767,1800,37.92,1558,900000,high_income,Norway,Europe,Europe Central Asia
10927,1800,28.82,796,2500000,upper_middle_income,Algeria,Africa,Middle East North Africa
32558,1800,35.7,224,5500000,upper_middle_income,Romania,Europe,Europe Central Asia
16056,1800,34.9,1147,20000,high_income,"Hong Kong, China",Asia,East Asia Pacific
4460,1800,36.2,688,2355081,upper_middle_income,Belarus,Europe,Europe Central Asia
6913,1800,32.0,992,771447,high_income,Chile,Americas,America
36572,1800,32.16,1588,2500000,high_income,Sweden,Europe,Europe Central Asia
16279,1800,33.9,764,130000,lower_middle_income,Honduras,Americas,America
11373,1800,33.0,1120,3500000,lower_middle_income,Egypt,Africa,Middle East North Africa
38579,1800,28.95,590,137262,lower_middle_income,Timor-Leste,Asia,East Asia Pacific
4906,1800,33.0,967,887000,lower_middle_income,Bolivia,Americas,America
15387,1800,31.4,1086,29409,upper_middle_income,Grenada,Americas,America
28098,1800,30.4,963,12100860,lower_middle_income,Nigeria,Africa,Sub Saharan Africa
43039,1800,32.6,751,747000,lower_middle_income,Zambia,Africa,Sub Saharan Africa
446,1800,35.4,755,400000,upper_middle_income,Albania,Europe,Europe Central Asia
36795,1800,32.3,555,86000,lower_middle_income,Eswatini,Africa,Sub Saharan Africa
6690,1800,38.0,2769,1750000,high_income,Switzerland,Europe,Europe Central Asia
26314,1800,31.8,670,600000,lower_middle_income,Mongolia,Asia,East Asia Pacific
17171,1800,30.0,1121,16108545,lower_middle_income,Indonesia,Asia,East Asia Pacific
22077,1800,33.1,1189,230044,upper_middle_income,Libya,Africa,Middle East North Africa
10481,1800,37.41,2278,1000000,high_income,Denmark,Europe,Europe Central Asia
4683,1800,26.5,655,25526,upper_middle_income,Belize,Americas,America
38802,1800,28.2,751,18658,upper_middle_income,Tonga,Asia,East Asia Pacific
15164,1800,36.6,1781,2250000,high_income,Greece,Europe,Europe Central Asia
28321,1800,25.4,1101,186000,lower_middle_income,Nicaragua,Americas,America
27206,1800,30.3,396,737000,low_income,Malawi,Africa,Sub Saharan Africa
16948,1800,36.0,1413,3250000,high_income,Hungary,Europe,Europe Central Asia
26537,1800,30.28,442,2000000,low_income,Mozambique,Africa,Sub Saharan Africa
21185,1800,26.0,1242,81280,high_income,Kuwait,Asia,Middle East North Africa
22300,1800,28.01,989,24000,upper_middle_income,St. Lucia,Americas,America
26091,1800,35.4,1197,126582,upper_middle_income,Montenegro,Europe,Europe Central Asia
17394,1800,25.44,1202,200733034,lower_middle_income,India,Asia,South Asia
33004,1800,31.8,488,928368,low_income,Rwanda,Africa,Sub Saharan Africa
4014,1800,35.18,1636,27350,high_income,Bahamas,Americas,America
26983,1800,28.7,1064,59000,upper_middle_income,Mauritius,Africa,Sub Saharan Africa
21408,1800,31.9,978,470000,lower_middle_income,Lao,Asia,East Asia Pacific
5575,1800,29.2,1712,2258,high_income,Brunei,Asia,East Asia Pacific
28990,1800,32.8,745,4000000,low_income,Nepal,Asia,South Asia
7582,1800,28.75,709,1860054,lower_middle_income,Cameroon,Africa,Sub Saharan Africa
27875,1800,30.8,505,852737,low_income,Niger,Africa,Sub Saharan Africa
15610,1800,25.8,970,462930,upper_middle_income,Guatemala,Americas,America
42593,1800,23.39,993,2593000,low_income,Yemen,Asia,Middle East North Africa
892,1800,30.7,1130,40153,high_income,United Arab Emirates,Asia,Middle East North Africa
3791,1800,30.3,1398,64474,high_income,Bahrain,Asia,Middle East North Africa
39471,1800,35.0,1115,9761393,upper_middle_income,Turkey,Europe,Europe Central Asia
35903,1800,32.9,1852,80721,upper_middle_income,Suriname,Americas,America
18063,1800,31.2,1026,1000000,upper_middle_income,Iraq,Asia,Middle East North Africa
25422,1800,26.41,683,1403398,low_income,Mali,Africa,Sub Saharan Africa
11819,1800,29.5,1755,11500000,high_income,Spain,Europe,Europe Central Asia
37910,1800,30.4,1057,3000000,upper_middle_income,Thailand,Asia,East Asia Pacific
14495,1800,28.8,920,103274,low_income,Gambia,Africa,Sub Saharan Africa
14272,1800,29.5,509,983959,low_income,Guinea,Africa,Sub Saharan Africa
31666,1800,35.6,1696,2750000,high_income,Portugal,Europe,Europe Central Asia
36126,1800,36.4,1615,2140651,high_income,Slovak Republic,Europe,Europe Central Asia
5129,1800,32.0,1008,2500000,upper_middle_income,Brazil,Americas,America
7359,1800,31.16,678,1088530,lower_middle_income,Cote d'Ivoire,Africa,Sub Saharan Africa
17840,1800,25.6,1022,6000000,upper_middle_income,Iran,Asia,Middle East North Africa
25645,1800,28.7,884,134072,high_income,Malta,Europe,Europe Central Asia
27429,1800,30.6,1117,287000,upper_middle_income,Malaysia,Asia,East Asia Pacific
33227,1800,32.1,914,2000000,high_income,Saudi Arabia,Asia,Middle East North Africa
38356,1800,24.0,1068,367215,upper_middle_income,Turkmenistan,Asia,Europe Central Asia
21186,1801,26.0,1246,81280,high_income,Kuwait,Asia,Middle East North Africa
26984,1801,28.7,1064,60670,upper_middle_income,Mauritius,Africa,Sub Saharan Africa
27207,1801,30.3,396,752981,low_income,Malawi,Africa,Sub Saharan Africa
22747,1801,32.8,398,276361,lower_middle_income,Lesotho,Africa,Sub Saharan Africa
12489,1801,40.3,1416,815316,high_income,Finland,Europe,Europe Central Asia
20071,1801,23.94,575,530343,lower_middle_income,Kyrgyz Republic,Asia,Europe Central Asia
34120,1801,25.1,411,56998,lower_middle_income,Solomon Islands,Asia,East Asia Pacific
33005,1801,25.0,489,928368,low_income,Rwanda,Africa,Sub Saharan Africa
9367,1801,38.5,967,184412,high_income,Cyprus,Europe,Europe Central Asia
11374,1801,33.0,1120,3531800,lower_middle_income,Egypt,Africa,Middle East North Africa
1785,1801,34.05,930,205195,high_income,Australia,Asia,East Asia Pacific
11820,1801,29.5,1753,11534168,high_income,Spain,Europe,Europe Central Asia
5576,1801,29.2,1712,2258,high_income,Brunei,Asia,East Asia Pacific
43040,1801,32.6,753,758402,lower_middle_income,Zambia,Africa,Sub Saharan Africa
10482,1801,38.51,2282,1007231,high_income,Denmark,Europe,Europe Central Asia
23416,1801,33.0,851,590588,high_income,Latvia,Europe,Europe Central Asia
41702,1801,32.2,1241,978177,upper_middle_income,Venezuela,Americas,America
447,1801,35.4,755,401773,upper_middle_income,Albania,Europe,Europe Central Asia
37911,1801,30.4,1057,3066958,upper_middle_income,Thailand,Asia,East Asia Pacific
10036,1801,29.9,854,22848,lower_middle_income,Djibouti,Africa,Middle East North Africa
42371,1801,25.4,1585,47292,upper_middle_income,Samoa,Asia,East Asia Pacific
33451,1801,31.4,586,3999435,lower_middle_income,Sudan,Africa,Sub Saharan Africa
893,1801,30.7,1133,40153,high_income,United Arab Emirates,Asia,Middle East North Africa
33897,1801,29.1,1156,30000,high_income,Singapore,Asia,East Asia Pacific
42148,1801,24.3,663,27791,lower_middle_income,Vanuatu,Asia,East Asia Pacific
1339,1801,34.0,582,413326,upper_middle_income,Armenia,Europe,Europe Central Asia
31221,1801,35.9,1023,9066429,high_income,Poland,Europe,Europe Central Asia
33674,1801,25.2,563,1009886,lower_middle_income,Senegal,Africa,Sub Saharan Africa
22524,1801,32.6,1019,1718222,upper_middle_income,Sri Lanka,Asia,South Asia
27430,1801,30.6,1117,287000,upper_middle_income,Malaysia,Asia,East Asia Pacific
12266,1801,29.7,592,12032589,low_income,Ethiopia,Africa,Sub Saharan Africa
20294,1801,35.0,436,2090000,lower_middle_income,Cambodia,Asia,East Asia Pacific
16057,1801,34.9,1155,20000,high_income,"Hong Kong, China",Asia,East Asia Pacific
11597,1801,30.2,602,205010,low_income,Eritrea,Africa,Sub Saharan Africa
9813,1801,38.37,1827,18294612,high_income,Germany,Europe,Europe Central Asia
22970,1801,28.9,1439,778655,high_income,Lithuania,Europe,Europe Central Asia
23193,1801,36.9,1645,127030,high_income,Luxembourg,Europe,Europe Central Asia
33228,1801,32.1,914,2004454,high_income,Saudi Arabia,Asia,Middle East North Africa
9590,1801,34.95,2169,5516349,high_income,Czech Republic,Europe,Europe Central Asia
37465,1801,30.9,473,1438365,low_income,Chad,Africa,Sub Saharan Africa
1116,1801,33.2,1731,519565,upper_middle_income,Argentina,Americas,America
31444,1801,26.0,283,4345000,low_income,North Korea,Asia,East Asia Pacific
22301,1801,28.01,991,24000,upper_middle_income,St. Lucia,Americas,America
31667,1801,35.6,1617,2775058,high_income,Portugal,Europe,Europe Central Asia
6022,1801,33.6,449,120541,upper_middle_income,Botswana,Africa,Sub Saharan Africa
1562,1801,33.54,857,37000,high_income,Antigua and Barbuda,Americas,America
30998,1801,31.5,618,754894,lower_middle_income,Papua New Guinea,Asia,East Asia Pacific
16280,1801,33.9,764,130246,lower_middle_income,Honduras,Americas,America
12043,1801,35.7,1063,334136,high_income,Estonia,Europe,Europe Central Asia
41925,1801,32.0,976,4099892,lower_middle_income,Vietnam,Asia,East Asia Pacific
20517,1801,24.9,624,17876,lower_middle_income,Kiribati,Asia,East Asia Pacific
31890,1801,35.5,945,289089,upper_middle_income,Paraguay,Americas,America
42594,1801,23.39,995,2593000,low_income,Yemen,Asia,Middle East North Africa
42817,1801,33.5,1758,1453209,upper_middle_income,South Africa,Africa,Sub Saharan Africa
20963,1801,25.8,948,9395000,high_income,South Korea,Asia,East Asia Pacific
30106,1801,32.9,959,76150,high_income,Panama,Americas,America
12712,1801,26.1,889,130762,upper_middle_income,Fiji,Asia,East Asia Pacific
14719,1801,32.0,641,218167,low_income,Guinea-Bissau,Africa,Sub Saharan Africa
28768,1801,35.82,1561,898489,high_income,Norway,Europe,Europe Central Asia
4015,1801,35.18,1636,27350,high_income,Bahamas,Americas,America
39472,1801,35.0,1116,9776186,upper_middle_income,Turkey,Europe,Europe Central Asia
36127,1801,36.4,1615,2140651,high_income,Slovak Republic,Europe,Europe Central Asia
7360,1801,31.16,678,1088530,lower_middle_income,Cote d'Ivoire,Africa,Sub Saharan Africa
25646,1801,28.7,885,134072,high_income,Malta,Europe,Europe Central Asia
17841,1801,25.6,1022,6026829,upper_middle_income,Iran,Asia,Middle East North Africa
14496,1801,28.8,920,103274,low_income,Gambia,Africa,Sub Saharan Africa
28991,1801,32.8,745,3993964,low_income,Nepal,Asia,South Asia
27876,1801,30.8,505,852737,low_income,Niger,Africa,Sub Saharan Africa
15611,1801,25.8,970,468978,upper_middle_income,Guatemala,Americas,America
17618,1801,38.3,1640,5329879,high_income,Ireland,Europe,Europe Central Asia
3792,1801,30.3,1404,64474,high_income,Bahrain,Asia,Middle East North Africa
35904,1801,32.9,1853,80721,upper_middle_income,Suriname,Americas,America
7583,1801,28.75,709,1860054,lower_middle_income,Cameroon,Africa,Sub Saharan Africa
25423,1801,26.41,683,1403398,low_income,Mali,Africa,Sub Saharan Africa
18064,1801,31.2,1025,1004456,upper_middle_income,Iraq,Asia,Middle East North Africa
14273,1801,29.51,509,983959,low_income,Guinea,Africa,Sub Saharan Africa
38357,1801,24.0,1069,367215,upper_middle_income,Turkmenistan,Asia,Europe Central Asia
5130,1801,32.0,1008,2574764,upper_middle_income,Brazil,Americas,America
3569,1801,35.84,1233,2246807,upper_middle_income,Bulgaria,Europe,Europe Central Asia
39918,1801,28.3,1123,2000000,high_income,Taiwan,Asia,East Asia Pacific
35681,1801,31.0,965,22731,lower_middle_income,Sao Tome and Principe,Africa,Sub Saharan Africa
7806,1801,31.6,551,5163819,low_income,"Congo, Dem. Rep.",Africa,Sub Saharan Africa
25200,1801,36.1,781,391865,upper_middle_income,North Macedonia,Europe,Europe Central Asia
39249,1801,28.8,800,803593,lower_middle_income,Tunisia,Africa,Middle East North Africa
37019,1801,37.0,900,12522,high_income,Seychelles,Africa,Sub Saharan Africa
38580,1801,28.95,591,137262,lower_middle_income,Timor-Leste,Asia,East Asia Pacific
4907,1801,33.0,967,896597,lower_middle_income,Bolivia,Americas,America
15388,1801,31.4,1086,29409,upper_middle_income,Grenada,Americas,America
28099,1801,30.4,966,12100860,lower_middle_income,Nigeria,Africa,Sub Saharan Africa
36796,1801,32.3,555,85550,lower_middle_income,Eswatini,Africa,Sub Saharan Africa
26315,1801,31.8,670,600936,lower_middle_income,Mongolia,Asia,East Asia Pacific
17172,1801,30.0,1116,16150710,lower_middle_income,Indonesia,Asia,East Asia Pacific
6691,1801,38.0,2770,1761104,high_income,Switzerland,Europe,Europe Central Asia
4684,1801,26.5,655,25526,upper_middle_income,Belize,Americas,America
38803,1801,28.2,751,18654,upper_middle_income,Tonga,Asia,East Asia Pacific
15165,1801,36.6,1781,2253060,high_income,Greece,Europe,Europe Central Asia
28322,1801,25.4,1101,186000,lower_middle_income,Nicaragua,Americas,America
4238,1801,35.1,757,851806,upper_middle_income,Bosnia and Herzegovina,Europe,Europe Central Asia
16949,1801,36.0,1414,3289809,high_income,Hungary,Europe,Europe Central Asia
26092,1801,35.4,1198,126582,upper_middle_income,Montenegro,Europe,Europe Central Asia
17395,1801,25.44,1201,201128850,lower_middle_income,India,Asia,South Asia
36573,1801,36.9,1573,2489400,high_income,Sweden,Europe,Europe Central Asia
6914,1801,32.0,992,771447,high_income,Chile,Americas,America
4461,1801,36.2,688,2355081,upper_middle_income,Belarus,Europe,Europe Central Asia
39026,1801,32.9,1392,21129,high_income,Trinidad and Tobago,Americas,America
14942,1801,29.8,403,80377,upper_middle_income,Equatorial Guinea,Africa,Sub Saharan Africa
28545,1801,39.86,4778,2004651,high_income,Netherlands,Europe,Europe Central Asia
6468,1801,39.0,1495,512396,high_income,Canada,Americas,America
25869,1801,30.8,933,5840961,lower_middle_income,Myanmar,Asia,East Asia Pacific
36350,1801,36.6,1595,469664,high_income,Slovenia,Europe,Europe Central Asia
7137,1801,32.0,1074,331538997,upper_middle_income,China,Asia,East Asia Pacific
26538,1801,30.28,443,2004694,low_income,Mozambique,Africa,Sub Saharan Africa
18287,1801,33.88,1048,61428,high_income,Iceland,Europe,Europe Central Asia
14050,1801,28.0,788,2016034,lower_middle_income,Ghana,Africa,Sub Saharan Africa
29437,1801,34.05,759,193187,high_income,New Zealand,Asia,East Asia Pacific
8698,1801,33.8,599,55716,lower_middle_income,Cape Verde,Africa,Sub Saharan Africa
27653,1801,32.4,611,225966,upper_middle_income,Namibia,Africa,Sub Saharan Africa
15834,1801,31.12,1374,166034,upper_middle_income,Guyana,Americas,America
2454,1801,31.5,473,899097,low_income,Burundi,Africa,Sub Saharan Africa
13158,1801,26.7,586,16416,lower_middle_income,"Micronesia, Fed. Sts.",Asia,East Asia Pacific
30329,1801,35.7,1166,1273261,upper_middle_income,Peru,Americas,America
24085,1801,33.15,703,712558,lower_middle_income,Moldova,Europe,Europe Central Asia
19402,1801,36.4,1531,28142859,high_income,Japan,Asia,East Asia Pacific
38134,1801,24.24,631,466629,low_income,Tajikistan,Asia,Europe Central Asia
5353,1801,32.12,1035,81729,high_income,Barbados,Americas,America
34566,1801,28.7,1104,238098,lower_middle_income,El Salvador,Americas,America
19179,1801,31.7,1022,200817,upper_middle_income,Jordan,Asia,Middle East North Africa
8921,1801,30.21,877,53460,upper_middle_income,Costa Rica,Americas,America
41256,1801,26.93,568,1919159,lower_middle_income,Uzbekistan,Asia,Europe Central Asia
12935,1801,36.37,2081,29108552,high_income,France,Europe,Europe Central Asia
30552,1801,30.9,1082,2436516,lower_middle_income,Philippines,Asia,East Asia Pacific
19625,1801,26.2,1292,2041282,upper_middle_income,Kazakhstan,Asia,Europe Central Asia
34343,1801,25.1,831,794264,low_income,Sierra Leone,Africa,Sub Saharan Africa
9144,1801,32.33,725,292989,upper_middle_income,Cuba,Americas,America
2008,1801,34.4,2099,3017451,high_income,Austria,Europe,Europe Central Asia
41479,1801,25.99,949,25781,upper_middle_income,St. Vincent and the Grenadines,Americas,America
23639,1801,33.1,808,2509126,lower_middle_income,Morocco,Africa,Middle East North Africa
19848,1801,25.5,969,2587646,lower_middle_income,Kenya,Africa,Sub Saharan Africa
16503,1801,36.1,1232,1227886,high_income,Croatia,Europe,Europe Central Asia
2231,1801,29.17,877,879960,upper_middle_income,Azerbaijan,Europe,Europe Central Asia
24308,1801,30.5,649,1508658,low_income,Madagascar,Africa,Sub Saharan Africa
13381,1801,30.6,442,158227,upper_middle_income,Gabon,Africa,Sub Saharan Africa
40810,1801,32.9,2145,55000,high_income,Uruguay,Americas,America
3346,1801,25.5,992,19229085,lower_middle_income,Bangladesh,Asia,South Asia
40141,1801,32.2,636,3000985,low_income,Tanzania,Africa,Sub Saharan Africa
18510,1801,32.0,2844,209954,high_income,Israel,Asia,Middle East North Africa
35458,1801,26.67,574,1028736,low_income,South Sudan,Africa,Sub Saharan Africa
8029,1801,32.7,652,314465,lower_middle_income,"Congo, Rep.",Africa,Sub Saharan Africa
16726,1801,29.0,717,509306,low_income,Haiti,Americas,America
26761,1801,32.0,598,382696,lower_middle_income,Mauritania,Africa,Sub Saharan Africa
13827,1801,31.87,615,1072178,upper_middle_income,Georgia,Europe,Europe Central Asia
29660,1801,32.3,1037,300875,high_income,Oman,Asia,Middle East North Africa
3123,1801,29.2,543,1665421,low_income,Burkina Faso,Africa,Sub Saharan Africa
40364,1801,25.3,525,2478383,low_income,Uganda,Africa,Sub Saharan Africa
24754,1801,26.9,1509,5165663,upper_middle_income,Mexico,Americas,America
18733,1801,29.69,2759,19057138,high_income,Italy,Europe,Europe Central Asia
35235,1801,35.5,1537,2147197,upper_middle_income,Serbia,Europe,Europe Central Asia
8252,1801,32.0,1089,1206000,upper_middle_income,Colombia,Americas,America
6245,1801,30.0,480,479444,low_income,Central African Republic,Africa,Sub Saharan Africa
13604,1801,37.35,3895,10866183,high_income,United Kingdom,Europe,Europe Central Asia
29883,1801,25.8,1156,13145712,lower_middle_income,Pakistan,Asia,South Asia
