Acceleration,Cylinders,Displacement,Horsepower,Miles_per_Gallon,Name,Origin,Weight_in_lbs,Year
14.5,4,107.0,90,24.0,audi 100 ls,Europe,2430,1970-01-01
17.5,4,104.0,95,25.0,saab 99e,Europe,2375,1970-01-01
12.5,4,121.0,113,26.0,bmw 2002,Europe,2234,1970-01-01
15.0,6,199.0,90,21.0,amc gremlin,USA,2648,1970-01-01
14.0,8,360.0,215,10.0,ford f250,USA,4615,1970-01-01
15.0,8,307.0,200,10.0,chevrolet c20,USA,4376,1970-01-01
13.5,8,318.0,210,11.0,dodge d200,USA,4382,1970-01-01
18.5,8,304.0,193,9.0,hi 1200d,USA,4732,1970-01-01
14.5,4,97.0,88,27.0,datsun pl510,Japan,2130,1971-01-01
15.5,4,140.0,90,28.0,chevrolet vega 2300,USA,2264,1971-01-01
14.0,4,113.0,95,25.0,toyota corona,Japan,2228,1971-01-01
19.0,4,98.0,,25.0,ford pinto,USA,2046,1971-01-01
20.0,4,97.0,48,,vw super beetle 117,Europe,1978,1971-01-01
13.0,6,232.0,100,19.0,amc gremlin,USA,2634,1971-01-01
15.5,6,225.0,105,16.0,plymouth satellite custom,USA,3439,1971-01-01
15.5,6,250.0,100,17.0,chevrolet chevelle malibu,USA,3329,1971-01-01
15.5,6,250.0,88,19.0,ford torino 500,USA,3302,1971-01-01
15.5,6,232.0,100,18.0,amc matador,USA,3288,1971-01-01
12.0,8,350.0,165,14.0,chevrolet impala,USA,4209,1971-01-01
11.5,8,400.0,175,14.0,pontiac catalina brougham,USA,4464,1971-01-01
13.5,8,351.0,153,14.0,ford galaxie 500,USA,4154,1971-01-01
13.0,8,318.0,150,14.0,plymouth fury iii,USA,4096,1971-01-01
11.5,8,383.0,180,12.0,dodge monaco (sw),USA,4955,1971-01-01
12.0,8,400.0,170,13.0,ford country squire (sw),USA,4746,1971-01-01
12.0,8,400.0,175,13.0,pontiac safari (sw),USA,5140,1971-01-01
13.5,6,258.0,110,18.0,amc hornet sportabout (sw),USA,2962,1971-01-01
19.0,4,140.0,72,22.0,chevrolet vega (sw),USA,2408,1971-01-01
15.0,6,250.0,100,19.0,pontiac firebird,USA,3282,1971-01-01
14.5,6,250.0,88,18.0,ford mustang,USA,3139,1971-01-01
14.0,4,122.0,86,23.0,mercury capri 2000,USA,2220,1971-01-01
14.0,4,116.0,90,28.0,opel 1900,Europe,2123,1971-01-01
19.5,4,79.0,70,30.0,peugeot 304,Europe,2074,1971-01-01
14.5,4,88.0,76,30.0,fiat 124b,Europe,2065,1971-01-01
19.0,4,71.0,65,31.0,toyota corolla 1200,Japan,1773,1971-01-01
18.0,4,72.0,69,35.0,datsun 1200,Japan,1613,1971-01-01
19.0,4,97.0,60,27.0,vw model 111,Europe,1834,1971-01-01
20.5,4,91.0,70,26.0,plymouth cricket,USA,1955,1971-01-01
15.5,4,113.0,95,24.0,toyota corona hardtop,Japan,2278,1972-01-01
17.0,4,97.5,80,25.0,dodge colt hardtop,USA,2126,1972-01-01
23.5,4,97.0,54,23.0,vw type 3,Europe,2254,1972-01-01
19.5,4,140.0,90,20.0,chevrolet vega,USA,2408,1972-01-01
16.5,4,122.0,86,21.0,ford pinto runabout,USA,2226,1972-01-01
12.0,8,350.0,165,13.0,chevrolet impala,USA,4274,1972-01-01
12.0,8,400.0,175,14.0,pontiac catalina,USA,4385,1972-01-01
13.5,8,318.0,150,15.0,plymouth fury iii,USA,4135,1972-01-01
13.0,8,351.0,153,14.0,ford galaxie 500,USA,4129,1972-01-01
11.5,8,304.0,150,17.0,amc ambassador sst,USA,3672,1972-01-01
11.0,8,429.0,208,11.0,mercury marquis,USA,4633,1972-01-01
13.5,8,350.0,155,13.0,buick lesabre custom,USA,4502,1972-01-01
13.5,8,350.0,160,12.0,oldsmobile delta 88 royale,USA,4456,1972-01-01
12.5,8,400.0,190,13.0,chrysler newport royal,USA,4422,1972-01-01
13.5,3,70.0,97,19.0,mazda rx2 coupe,Japan,2330,1972-01-01
12.5,8,304.0,150,15.0,amc matador (sw),USA,3892,1972-01-01
14.0,8,307.0,130,13.0,chevrolet chevelle concours (sw),USA,4098,1972-01-01
16.0,8,302.0,140,13.0,ford gran torino (sw),USA,4294,1972-01-01
14.0,8,318.0,150,14.0,plymouth satellite custom (sw),USA,4077,1972-01-01
14.5,4,121.0,112,18.0,volvo 145e (sw),Europe,2933,1972-01-01
18.0,4,121.0,76,22.0,vw 411 (sw),Europe,2511,1972-01-01
19.5,4,120.0,87,21.0,peugeot 504 (sw),Europe,2979,1972-01-01
18.0,4,96.0,69,26.0,renault 12 (sw),Europe,2189,1972-01-01
16.0,4,122.0,86,22.0,ford pinto (sw),USA,2395,1972-01-01
17.0,4,97.0,92,28.0,datsun 510 (sw),Japan,2288,1972-01-01
14.5,4,120.0,97,23.0,toyota corona mark ii (sw),Japan,2506,1972-01-01
15.0,4,98.0,80,28.0,dodge colt (sw),USA,2164,1972-01-01
16.5,4,97.0,88,27.0,toyota corolla 1600 (sw),Japan,2100,1972-01-01
13.0,8,350.0,175,13.0,buick century 350,USA,4100,1973-01-01
11.5,8,304.0,150,14.0,amc matador,USA,3672,1973-01-01
13.0,8,350.0,145,13.0,chevrolet malibu,USA,3988,1973-01-01
14.5,8,302.0,137,14.0,ford gran torino,USA,4042,1973-01-01
12.5,8,318.0,150,15.0,dodge coronet custom,USA,3777,1973-01-01
11.5,8,429.0,198,12.0,mercury marquis brougham,USA,4952,1973-01-01
12.0,8,400.0,150,13.0,chevrolet caprice classic,USA,4464,1973-01-01
13.0,8,351.0,158,13.0,ford ltd,USA,4363,1973-01-01
14.5,8,318.0,150,14.0,plymouth fury gran sedan,USA,4237,1973-01-01
11.0,8,440.0,215,13.0,chrysler new yorker brougham,USA,4735,1973-01-01
11.0,8,455.0,225,12.0,buick electra 225 custom,USA,4951,1973-01-01
11.0,8,360.0,175,13.0,amc ambassador brougham,USA,3821,1973-01-01
16.5,6,225.0,105,18.0,plymouth valiant,USA,3121,1973-01-01
18.0,6,250.0,100,16.0,chevrolet nova custom,USA,3278,1973-01-01
16.0,6,232.0,100,18.0,amc hornet,USA,2945,1973-01-01
16.5,6,250.0,88,18.0,ford maverick,USA,3021,1973-01-01
16.0,6,198.0,95,23.0,plymouth duster,USA,2904,1973-01-01
21.0,4,97.0,46,26.0,vw super beetle,Europe,1950,1973-01-01
14.0,8,400.0,150,11.0,chevrolet impala,USA,4997,1973-01-01
12.5,8,400.0,167,12.0,ford country,USA,4906,1973-01-01
13.0,8,360.0,170,13.0,plymouth custom suburb,USA,4654,1973-01-01
12.5,8,350.0,180,12.0,oldsmobile vista cruiser,USA,4499,1973-01-01
15.0,6,232.0,100,18.0,amc gremlin,USA,2789,1973-01-01
19.0,4,97.0,88,20.0,toyota carina,Japan,2279,1973-01-01
19.5,4,140.0,72,21.0,chevrolet vega,USA,2401,1973-01-01
16.5,4,108.0,94,22.0,datsun 610,Japan,2379,1973-01-01
13.5,3,70.0,90,18.0,mazda rx3,Japan,2124,1973-01-01
18.5,4,122.0,85,19.0,ford pinto,USA,2310,1973-01-01
14.0,6,155.0,107,21.0,mercury capri v6,USA,2472,1973-01-01
15.5,4,98.0,90,26.0,fiat 124 sport coupe,Europe,2265,1973-01-01
13.0,8,350.0,145,15.0,chevrolet monte carlo s,USA,4082,1973-01-01
9.5,8,400.0,230,16.0,pontiac grand prix,USA,4278,1973-01-01
19.5,4,68.0,49,29.0,fiat 128,Europe,1867,1973-01-01
15.5,4,116.0,75,24.0,opel manta,Europe,2158,1973-01-01
14.0,4,114.0,91,20.0,audi 100ls,Europe,2582,1973-01-01
15.5,4,121.0,112,19.0,volvo 144ea,Europe,2868,1973-01-01
11.0,8,318.0,150,15.0,dodge dart custom,USA,3399,1973-01-01
14.0,4,121.0,110,24.0,saab 99le,Europe,2660,1973-01-01
13.5,6,156.0,122,20.0,toyota mark ii,Japan,2807,1973-01-01
11.0,8,350.0,180,11.0,oldsmobile omega,USA,3664,1973-01-01
16.5,6,198.0,95,20.0,plymouth duster,USA,3102,1974-01-01
17.0,6,200.0,,21.0,ford maverick,USA,2875,1974-01-01
16.0,6,232.0,100,19.0,amc hornet,USA,2901,1974-01-01
17.0,6,250.0,100,15.0,chevrolet nova,USA,3336,1974-01-01
19.0,4,79.0,67,31.0,datsun b210,Japan,1950,1974-01-01
16.5,4,122.0,80,26.0,ford pinto,USA,2451,1974-01-01
21.0,4,71.0,65,32.0,toyota corolla 1200,Japan,1836,1974-01-01
17.0,4,140.0,75,25.0,chevrolet vega,USA,2542,1974-01-01
17.0,6,250.0,100,16.0,chevrolet chevelle malibu classic,USA,3781,1974-01-01
18.0,6,258.0,110,16.0,amc matador,USA,3632,1974-01-01
16.5,6,225.0,105,18.0,plymouth satellite sebring,USA,3613,1974-01-01
14.0,8,302.0,140,16.0,ford gran torino,USA,4141,1974-01-01
14.5,8,350.0,150,13.0,buick century luxus (sw),USA,4699,1974-01-01
13.5,8,318.0,150,14.0,dodge coronet custom (sw),USA,4457,1974-01-01
16.0,8,302.0,140,14.0,ford gran torino (sw),USA,4638,1974-01-01
15.5,8,304.0,150,14.0,amc matador (sw),USA,4257,1974-01-01
16.5,4,98.0,83,29.0,audi fox,Europe,2219,1974-01-01
15.5,4,79.0,67,26.0,vw dasher,Europe,1963,1974-01-01
14.5,4,97.0,78,26.0,opel manta,Europe,2300,1974-01-01
16.5,4,76.0,52,31.0,toyota corona,Japan,1649,1974-01-01
19.0,4,83.0,61,32.0,datsun 710,Japan,2003,1974-01-01
14.5,4,90.0,75,28.0,dodge colt,USA,2125,1974-01-01
15.5,4,90.0,75,24.0,fiat 128,Europe,2108,1974-01-01
14.0,4,116.0,75,26.0,fiat 124 tc,Europe,2246,1974-01-01
15.0,4,120.0,97,24.0,honda civic,Japan,2489,1974-01-01
15.5,4,108.0,93,26.0,subaru,Japan,2391,1974-01-01
16.0,4,79.0,67,31.0,fiat x1.9,Europe,2000,1974-01-01
16.0,6,225.0,95,19.0,plymouth valiant custom,USA,3264,1975-01-01
16.0,6,250.0,105,18.0,chevrolet nova,USA,3459,1975-01-01
21.0,6,250.0,72,15.0,mercury monarch,USA,3432,1975-01-01
19.5,6,250.0,72,15.0,ford maverick,USA,3158,1975-01-01
11.5,8,400.0,170,16.0,pontiac catalina,USA,4668,1975-01-01
14.0,8,350.0,145,15.0,chevrolet bel air,USA,4440,1975-01-01
14.5,8,318.0,150,16.0,plymouth grand fury,USA,4498,1975-01-01
13.5,8,351.0,148,14.0,ford ltd,USA,4657,1975-01-01
21.0,6,231.0,110,17.0,buick century,USA,3907,1975-01-01
18.5,6,250.0,105,16.0,chevrolet chevelle malibu,USA,3897,1975-01-01
19.0,6,258.0,110,15.0,amc matador,USA,3730,1975-01-01
19.0,6,225.0,95,18.0,plymouth fury,USA,3785,1975-01-01
15.0,6,231.0,110,21.0,buick skyhawk,USA,3039,1975-01-01
13.5,8,262.0,110,20.0,chevrolet monza 2+2,USA,3221,1975-01-01
12.0,8,302.0,129,13.0,ford mustang ii,USA,3169,1975-01-01
16.0,4,97.0,75,29.0,toyota corolla,Japan,2171,1975-01-01
17.0,4,140.0,83,23.0,ford pinto,USA,2639,1975-01-01
16.0,6,232.0,100,20.0,amc gremlin,USA,2914,1975-01-01
18.5,4,140.0,78,23.0,pontiac astro,USA,2592,1975-01-01
13.5,4,134.0,96,24.0,toyota corona,Japan,2702,1975-01-01
16.5,4,90.0,71,25.0,vw dasher,Europe,2223,1975-01-01
17.0,4,119.0,97,24.0,datsun 710,Japan,2545,1975-01-01
14.5,6,171.0,97,18.0,ford pinto,USA,2984,1975-01-01
14.0,4,90.0,70,29.0,vw rabbit,Europe,1937,1975-01-01
17.0,6,232.0,90,19.0,amc pacer,USA,3211,1975-01-01
15.0,4,115.0,95,23.0,audi 100ls,Europe,2694,1975-01-01
17.0,4,120.0,88,23.0,peugeot 504,Europe,2957,1975-01-01
14.5,4,121.0,98,22.0,volvo 244dl,Europe,2945,1975-01-01
13.5,4,121.0,115,25.0,saab 99le,Europe,2671,1975-01-01
17.5,4,91.0,53,33.0,honda civic cvcc,Japan,1795,1975-01-01
15.5,4,107.0,86,28.0,fiat 131,Europe,2464,1976-01-01
16.9,4,116.0,81,25.0,opel 1900,Europe,2220,1976-01-01
14.9,4,140.0,92,25.0,capri ii,USA,2572,1976-01-01
17.7,4,98.0,79,26.0,dodge colt,USA,2255,1976-01-01
15.3,4,101.0,83,27.0,renault 12tl,Europe,2202,1976-01-01
13.0,8,305.0,140,17.5,chevrolet chevelle malibu classic,USA,4215,1976-01-01
13.0,8,318.0,150,16.0,dodge coronet brougham,USA,4190,1976-01-01
13.9,8,304.0,120,15.5,amc matador,USA,3962,1976-01-01
12.8,8,351.0,152,14.5,ford gran torino,USA,4215,1976-01-01
15.4,6,225.0,100,22.0,plymouth valiant,USA,3233,1976-01-01
14.5,6,250.0,105,22.0,chevrolet nova,USA,3353,1976-01-01
17.6,6,200.0,81,24.0,ford maverick,USA,3012,1976-01-01
17.6,6,232.0,90,22.5,amc hornet,USA,3085,1976-01-01
22.2,4,85.0,52,29.0,chevrolet chevette,USA,2035,1976-01-01
22.1,4,98.0,60,24.5,chevrolet woody,USA,2164,1976-01-01
14.2,4,90.0,70,29.0,vw rabbit,Europe,1937,1976-01-01
17.4,4,91.0,53,33.0,honda civic,Japan,1795,1976-01-01
17.7,6,225.0,100,20.0,dodge aspen se,USA,3651,1976-01-01
21.0,6,250.0,78,18.0,ford granada ghia,USA,3574,1976-01-01
16.2,6,250.0,110,18.5,pontiac ventura sj,USA,3645,1976-01-01
17.8,6,258.0,95,17.5,amc pacer d/l,USA,3193,1976-01-01
12.2,4,97.0,71,29.5,vw rabbit,Europe,1825,1976-01-01
17.0,4,85.0,70,32.0,datsun b-210,Japan,1990,1976-01-01
16.4,4,97.0,75,28.0,toyota corolla,Japan,2155,1976-01-01
13.6,4,140.0,72,26.5,ford pinto,USA,2565,1976-01-01
15.7,4,130.0,102,20.0,volvo 245,Europe,3150,1976-01-01
13.2,8,318.0,150,13.0,plymouth volare premier v8,USA,3940,1976-01-01
21.9,4,120.0,88,19.0,peugeot 504,Europe,3270,1976-01-01
15.5,6,156.0,108,19.0,toyota mark ii,Japan,2930,1976-01-01
16.7,6,168.0,120,16.5,mercedes-benz 280s,Europe,3820,1976-01-01
12.1,8,350.0,180,16.5,cadillac seville,USA,4380,1976-01-01
12.0,8,350.0,145,13.0,chevrolet c10,USA,4055,1976-01-01
15.0,8,302.0,130,13.0,ford f108,USA,3870,1976-01-01
14.0,8,318.0,150,13.0,dodge d100,USA,3755,1976-01-01
18.5,4,98.0,68,31.5,honda Accelerationord cvcc,Japan,2045,1977-01-01
14.8,4,111.0,80,30.0,buick opel isuzu deluxe,USA,2155,1977-01-01
18.6,4,79.0,58,36.0,renault 5 gtl,Europe,1825,1977-01-01
15.5,4,122.0,96,25.5,plymouth arrow gs,USA,2300,1977-01-01
16.8,4,85.0,70,33.5,datsun f-10 hatchback,Japan,1945,1977-01-01
12.5,8,305.0,145,17.5,chevrolet caprice classic,USA,3880,1977-01-01
19.0,8,260.0,110,17.0,oldsmobile cutlass supreme,USA,4060,1977-01-01
13.7,8,318.0,145,15.5,dodge monaco brougham,USA,4140,1977-01-01
14.9,8,302.0,130,15.0,mercury cougar brougham,USA,4295,1977-01-01
16.4,6,250.0,110,17.5,chevrolet concours,USA,3520,1977-01-01
16.9,6,231.0,105,20.5,buick skylark,USA,3425,1977-01-01
17.7,6,225.0,100,19.0,plymouth volare custom,USA,3630,1977-01-01
19.0,6,250.0,98,18.5,ford granada,USA,3525,1977-01-01
11.1,8,400.0,180,16.0,pontiac grand prix lj,USA,4220,1977-01-01
11.4,8,350.0,170,15.5,chevrolet monte carlo landau,USA,4165,1977-01-01
12.2,8,400.0,190,15.5,chrysler cordoba,USA,4325,1977-01-01
14.5,8,351.0,149,16.0,ford thunderbird,USA,4335,1977-01-01
14.5,4,97.0,78,29.0,vw rabbit custom,Europe,1940,1977-01-01
16.0,4,151.0,88,24.5,pontiac sunbird coupe,USA,2740,1977-01-01
18.2,4,97.0,75,26.0,toyota corolla liftback,Japan,2265,1977-01-01
15.8,4,140.0,89,25.5,ford mustang ii 2+2,USA,2755,1977-01-01
17.0,4,98.0,63,30.5,chevrolet chevette,USA,2051,1977-01-01
15.9,4,98.0,83,33.5,dodge colt m/m,USA,2075,1977-01-01
16.4,4,97.0,67,30.0,subaru dl,Japan,1985,1977-01-01
14.1,4,97.0,78,30.5,vw dasher,Europe,2190,1977-01-01
14.5,6,146.0,97,22.0,datsun 810,Japan,2815,1977-01-01
12.8,4,121.0,110,21.5,bmw 320i,Europe,2600,1977-01-01
13.5,3,80.0,110,21.5,mazda rx-4,Japan,2720,1977-01-01
21.5,4,90.0,48,43.1,vw rabbit custom diesel,Europe,1985,1978-01-01
14.4,4,98.0,66,36.1,ford fiesta,USA,1800,1978-01-01
19.4,4,78.0,52,32.8,mazda glc deluxe,Japan,1985,1978-01-01
18.6,4,85.0,70,39.4,datsun b210 gx,Japan,2070,1978-01-01
16.4,4,91.0,60,36.1,honda civic cvcc,Japan,1800,1978-01-01
15.5,8,260.0,110,19.9,oldsmobile cutlass salon brougham,USA,3365,1978-01-01
13.2,8,318.0,140,19.4,dodge diplomat,USA,3735,1978-01-01
12.8,8,302.0,139,20.2,mercury monarch ghia,USA,3570,1978-01-01
19.2,6,231.0,105,19.2,pontiac phoenix lj,USA,3535,1978-01-01
18.2,6,200.0,95,20.5,chevrolet malibu,USA,3155,1978-01-01
15.8,6,200.0,85,20.2,ford fairmont (auto),USA,2965,1978-01-01
15.4,4,140.0,88,25.1,ford fairmont (man),USA,2720,1978-01-01
17.2,6,225.0,100,20.5,plymouth volare,USA,3430,1978-01-01
17.2,6,232.0,90,19.4,amc concord,USA,3210,1978-01-01
15.8,6,231.0,105,20.6,buick century special,USA,3380,1978-01-01
16.7,6,200.0,85,20.8,mercury zephyr,USA,3070,1978-01-01
18.7,6,225.0,110,18.6,dodge aspen,USA,3620,1978-01-01
15.1,6,258.0,120,18.1,amc concord d/l,USA,3410,1978-01-01
13.2,8,305.0,145,19.2,chevrolet monte carlo landau,USA,3425,1978-01-01
13.4,6,231.0,165,17.7,buick regal sport coupe (turbo),USA,3445,1978-01-01
11.2,8,302.0,139,18.1,ford futura,USA,3205,1978-01-01
13.7,8,318.0,140,17.5,dodge magnum xe,USA,4080,1978-01-01
16.5,4,98.0,68,30.0,chevrolet chevette,USA,2155,1978-01-01
14.2,4,134.0,95,27.5,toyota corona,Japan,2560,1978-01-01
14.7,4,119.0,97,27.2,datsun 510,Japan,2300,1978-01-01
14.5,4,105.0,75,30.9,dodge omni,USA,2230,1978-01-01
14.8,4,134.0,95,21.1,toyota celica gt liftback,Japan,2515,1978-01-01
16.7,4,156.0,105,23.2,plymouth sapporo,USA,2745,1978-01-01
17.6,4,151.0,85,23.8,oldsmobile starfire sx,USA,2855,1978-01-01
14.9,4,119.0,97,23.9,datsun 200-sx,Japan,2405,1978-01-01
15.9,5,131.0,103,20.3,audi 5000,Europe,2830,1978-01-01
13.6,6,163.0,125,17.0,volvo 264gl,Europe,3140,1978-01-01
15.7,4,121.0,115,21.6,saab 99gle,Europe,2795,1978-01-01
15.8,6,163.0,133,16.2,peugeot 604sl,Europe,3410,1978-01-01
14.9,4,89.0,71,31.5,vw scirocco,Europe,1990,1978-01-01
16.6,4,98.0,68,29.5,honda Accelerationord lx,Japan,2135,1978-01-01
15.4,6,231.0,115,21.5,pontiac lemans v6,USA,3245,1979-01-01
18.2,6,200.0,85,19.8,mercury zephyr 6,USA,2990,1979-01-01
17.3,4,140.0,88,22.3,ford fairmont 4,USA,2890,1979-01-01
18.2,6,232.0,90,20.2,amc concord dl 6,USA,3265,1979-01-01
16.6,6,225.0,110,20.6,dodge aspen 6,USA,3360,1979-01-01
15.4,8,305.0,130,17.0,chevrolet caprice classic,USA,3840,1979-01-01
13.4,8,302.0,129,17.6,ford ltd landau,USA,3725,1979-01-01
13.2,8,351.0,138,16.5,mercury grand marquis,USA,3955,1979-01-01
15.2,8,318.0,135,18.2,dodge st. regis,USA,3830,1979-01-01
14.9,8,350.0,155,16.9,buick estate wagon (sw),USA,4360,1979-01-01
14.3,8,351.0,142,15.5,ford country squire (sw),USA,4054,1979-01-01
15.0,8,267.0,125,19.2,chevrolet malibu classic (sw),USA,3605,1979-01-01
13.0,8,360.0,150,18.5,chrysler lebaron town @ country (sw),USA,3940,1979-01-01
14.0,4,89.0,71,31.9,vw rabbit custom,Europe,1925,1979-01-01
15.2,4,86.0,65,34.1,mazda glc deluxe,Japan,1975,1979-01-01
14.4,4,98.0,80,35.7,dodge colt hatchback custom,USA,1915,1979-01-01
15.0,4,121.0,80,27.4,amc spirit dl,USA,2670,1979-01-01
20.1,5,183.0,77,25.4,mercedes benz 300d,Europe,3530,1979-01-01
17.4,8,350.0,125,23.0,cadillac eldorado,USA,3900,1979-01-01
24.8,4,141.0,71,27.2,peugeot 504,Europe,3190,1979-01-01
22.2,8,260.0,90,23.9,oldsmobile cutlass salon brougham,USA,3420,1979-01-01
13.2,4,105.0,70,34.2,plymouth horizon,USA,2200,1979-01-01
14.9,4,105.0,70,34.5,plymouth horizon tc3,USA,2150,1979-01-01
19.2,4,85.0,65,31.8,datsun 210,Japan,2020,1979-01-01
14.7,4,91.0,69,37.3,fiat strada custom,Europe,2130,1979-01-01
16.0,4,151.0,90,28.4,buick skylark limited,USA,2670,1979-01-01
11.3,6,173.0,115,28.8,chevrolet citation,USA,2595,1979-01-01
12.9,6,173.0,115,26.8,oldsmobile omega brougham,USA,2700,1979-01-01
13.2,4,151.0,90,33.5,pontiac phoenix,USA,2556,1979-01-01
14.7,4,98.0,76,41.5,vw rabbit,Europe,2144,1980-01-01
18.8,4,89.0,60,38.1,toyota corolla tercel,Japan,1968,1980-01-01
15.5,4,98.0,70,32.1,chevrolet chevette,USA,2120,1980-01-01
16.4,4,86.0,65,37.2,datsun 310,Japan,2019,1980-01-01
16.5,4,151.0,90,28.0,chevrolet citation,USA,2678,1980-01-01
18.1,4,140.0,88,26.4,ford fairmont,USA,2870,1980-01-01
20.1,4,151.0,90,24.3,amc concord,USA,3003,1980-01-01
18.7,6,225.0,90,19.1,dodge aspen,USA,3381,1980-01-01
15.8,4,97.0,78,34.3,audi 4000,Europe,2188,1980-01-01
15.5,4,134.0,90,29.8,toyota corona liftback,Japan,2711,1980-01-01
17.5,4,120.0,75,31.3,mazda 626,Japan,2542,1980-01-01
15.0,4,119.0,92,37.0,datsun 510 hatchback,Japan,2434,1980-01-01
15.2,4,108.0,75,32.2,toyota corolla,Japan,2265,1980-01-01
17.9,4,86.0,65,46.6,mazda glc,Japan,2110,1980-01-01
14.4,4,156.0,105,27.9,dodge colt,USA,2800,1980-01-01
19.2,4,85.0,65,40.8,datsun 210,Japan,2110,1980-01-01
21.7,4,90.0,48,44.3,vw rabbit c (diesel),Europe,2085,1980-01-01
23.7,4,90.0,48,43.4,vw dasher (diesel),Europe,2335,1980-01-01
19.9,5,121.0,67,36.4,audi 5000s (diesel),Europe,2950,1980-01-01
21.8,4,146.0,67,30.0,mercedes-benz 240d,Europe,3250,1980-01-01
13.8,4,91.0,67,44.6,honda civic 1500 gl,Japan,1850,1980-01-01
17.3,4,85.0,,40.9,renault lecar deluxe,Europe,1835,1980-01-01
18.0,4,97.0,67,33.8,subaru dl,Japan,2145,1980-01-01
15.3,4,89.0,62,29.8,vw rabbit,Europe,1845,1980-01-01
11.4,6,168.0,132,32.7,datsun 280-zx,Japan,2910,1980-01-01
12.5,3,70.0,100,23.7,mazda rx-7 gs,Japan,2420,1980-01-01
15.1,4,122.0,88,35.0,triumph tr7 coupe,Europe,2500,1980-01-01
14.3,4,140.0,,23.6,ford mustang cobra,USA,2905,1980-01-01
17.0,4,107.0,72,32.4,honda Accelerationord,Japan,2290,1980-01-01
15.7,4,135.0,84,27.2,plymouth reliant,USA,2490,1982-01-01
16.4,4,151.0,84,26.6,buick skylark,USA,2635,1982-01-01
14.4,4,156.0,92,25.8,dodge aries wagon (sw),USA,2620,1982-01-01
12.6,6,173.0,110,23.5,chevrolet citation,USA,2725,1982-01-01
12.9,4,135.0,84,30.0,plymouth reliant,USA,2385,1982-01-01
16.9,4,79.0,58,39.1,toyota starlet,Japan,1755,1982-01-01
16.4,4,86.0,64,39.0,plymouth champ,USA,1875,1982-01-01
16.1,4,81.0,60,35.1,honda civic 1300,Japan,1760,1982-01-01
17.8,4,97.0,67,32.3,subaru,Japan,2065,1982-01-01
19.4,4,85.0,65,37.0,datsun 210,Japan,1975,1982-01-01
17.3,4,89.0,62,37.7,toyota tercel,Japan,2050,1982-01-01
16.0,4,91.0,68,34.1,mazda glc 4,Japan,1985,1982-01-01
14.9,4,105.0,63,34.7,plymouth horizon 4,USA,2215,1982-01-01
16.2,4,98.0,65,34.4,ford escort 4w,USA,2045,1982-01-01
20.7,4,98.0,65,29.9,ford escort 2h,USA,2380,1982-01-01
14.2,4,105.0,74,33.0,vw jetta,Europe,2190,1982-01-01
15.8,4,100.0,,34.5,renault 18i,Europe,2320,1982-01-01
14.4,4,107.0,75,33.7,honda prelude,Japan,2210,1982-01-01
16.8,4,108.0,75,32.4,toyota corolla,Japan,2350,1982-01-01
14.8,4,119.0,100,32.9,datsun 200sx,Japan,2615,1982-01-01
18.3,4,120.0,74,31.6,mazda 626,Japan,2635,1982-01-01
20.4,4,141.0,80,28.1,peugeot 505s turbo diesel,Europe,3230,1982-01-01
15.4,4,121.0,110,,saab 900s,Europe,2800,1982-01-01
